,version,release_date,timestamp,sqale_debt_ratio,vulnerabilities,security_rating,sqale_rating,complexity,cognitive_complexity,ncloc
0,v0.1.1,2012-09-16,1347830400,4.6,0,1.0,1.0,371,226,1149
1,v0.1.2,2012-09-16,1347831468,4.6,0,1.0,1.0,372,227,1149
2,v0.2.0,2012-09-25,1348606567,4.6,0,1.0,1.0,384,233,1206
3,v0.3.0,2012-10-22,1350945621,4.0,0,1.0,1.0,538,361,1672
4,v0.3.1,2012-10-31,1351706318,4.0,0,1.0,1.0,554,382,1705
5,_pr796_author_head,2013-10-03,1380825701,2.4,0,1.0,1.0,1888,1006,8332
6,v0.10.0,2013-07-02,1372792692,2.9,0,1.0,1.0,1413,1058,5174
7,v0.7.0,2013-02-01,1359679000,3.2,0,1.0,1.0,1035,840,3496
8,v0.8.0,2013-02-24,1361722813,3.0,0,1.0,1.0,1242,956,4412
9,v0.8.1,2013-02-25,1361835591,3.0,0,1.0,1.0,1240,952,4409
10,1.0.0,2014-09-08,1410136588,2.4,0,1.0,1.0,2345,1187,10714
11,1.0.1,2014-09-08,1410136588,2.4,0,1.0,1.0,2345,1187,10714
12,_pr1129_author_head,2014-02-20,1392941224,2.5,0,1.0,1.0,2098,1142,9212
13,v1.3.0,2014-03-10,1394486876,2.5,0,1.0,1.0,2098,1142,9212
14,v1.3.1,2014-03-11,1394580432,2.5,0,1.0,1.0,2097,1137,9206
15,v1.4.0,2015-03-30,1427755590,2.2,0,1.0,1.0,2853,1293,13408
16,v1.4.1,2015-04-01,1427873754,2.2,0,1.0,1.0,2839,1295,13396
17,v1.4.2,2015-11-24,1448384866,2.2,0,1.0,1.0,2839,1295,13396
18,v1.5.0,2015-08-23,1440333270,2.3,0,1.0,1.0,2936,1406,13733
19,v1.5.1,2015-08-23,1440340627,2.3,0,1.0,1.0,2938,1407,13742
20,v1.7.3,2016-01-20,1453310607,2.3,0,1.0,1.0,3203,1549,15218
21,v1.7.5,2016-01-25,1453759027,2.3,0,1.0,1.0,3201,1540,15221
22,v1.7.6,2016-01-27,1453892808,2.3,0,1.0,1.0,3201,1540,15223
23,v1.7.7,2016-01-27,1453905433,2.3,0,1.0,1.0,3232,1573,15323
24,v1.7.8,2016-04-04,1459789208,2.3,0,1.0,1.0,3232,1573,15323
25,1.8.2,2017-09-13,1505321992,2.2,0,1.0,1.0,4177,2109,19586
26,v1.8.2,2018-03-28,1522260987,1.9,0,1.0,1.0,4178,2113,23199
27,v1.8.3,2018-03-28,1522259562,1.9,0,1.0,1.0,4181,2116,23240
28,v1.8.4,2018-03-28,1522262609,1.9,0,1.0,1.0,4178,2113,23199
29,v1.8.5,2019-01-17,1547731144,1.9,0,1.0,1.0,4179,2115,23213
30,v1.8.6,2019-01-17,1547732668,1.9,0,1.0,1.0,4179,2115,23213
31,v1.8.7,2019-01-17,1547764549,1.9,0,1.0,1.0,4179,2115,23213
32,v1.8.8,2019-01-23,1548278130,1.9,0,1.0,1.0,4179,2115,23213
33,v1.8.10,2021-01-14,1610646142,1.9,0,1.0,1.0,4179,2115,23213
34,v1.8.11,2021-01-18,1610967636,1.9,0,1.0,1.0,4173,2117,22960
35,v1.8.12,2021-01-18,1610984512,1.9,0,1.0,1.0,4174,2117,22960
36,v1.8.13,2021-11-15,1636945845,1.9,0,1.0,1.0,4184,2127,23022
37,1.8.14,2022-03-14,1647272221,1.9,0,1.0,1.0,4182,2125,23020
