,version,release_date,timestamp,sqale_debt_ratio,vulnerabilities,security_rating,sqale_rating,complexity,cognitive_complexity,ncloc
0,0.0.1,2010-01-03,1262525122,2.6,0,1.0,1.0,844,677,2933
1,0.0.2,2010-01-10,1263182084,2.6,0,1.0,1.0,870,727,3019
2,0.1.0,2010-02-03,1265239678,2.4,0,1.0,1.0,952,793,3518
3,0.10.0,2010-04-30,1272648853,2.3,0,1.0,1.0,958,912,3455
4,0.10.1,2010-05-03,1272901321,2.3,0,1.0,1.0,958,912,3455
5,1.0.2,2011-01-10,1294711756,0.8,0,1.0,1.0,632,320,6964
6,1.0.3,2011-01-13,1294956540,0.8,0,1.0,1.0,632,320,6967
7,1.0.4,2011-02-05,1296933188,0.8,0,1.0,1.0,636,320,6985
8,1.0.5,2011-02-05,1296933381,0.8,0,1.0,1.0,636,320,6985
9,1.0.6,2011-02-07,1297115125,0.8,0,1.0,1.0,638,320,6996
10,2.5.10,2012-06-15,1339800671,1.2,0,1.0,1.0,1227,555,8542
11,2.5.11,2012-06-29,1341005254,1.2,0,1.0,1.0,1228,555,8545
12,2.5.4,2012-01-02,1325522021,1.2,0,1.0,1.0,1219,551,8515
13,2.5.9,2012-04-02,1333419678,1.2,0,1.0,1.0,1224,553,8535
14,3.0.0alpha1,2012-04-15,1334514100,1.2,0,1.0,1.0,1743,507,9685
15,3.0.6,2013-01-04,1357354324,1.8,0,1.0,1.0,1831,513,7153
16,3.1.0,2013-01-25,1359174538,1.8,0,1.0,1.0,1864,524,7263
17,3.1.1,2013-04-01,1364840758,1.8,0,1.0,1.0,1875,530,7315
18,3.1.2,2013-04-12,1365794042,1.8,0,1.0,1.0,1878,529,7332
19,3.2.0,2013-04-15,1366054481,1.8,0,1.0,1.0,1910,540,7456
20,3.10.0,2014-06-03,1401770427,1.8,0,1.0,1.0,2278,698,8852
21,3.10.1,2014-06-03,1401828309,1.8,0,1.0,1.0,2278,698,8852
22,3.10.2,2014-06-03,1401845734,1.8,0,1.0,1.0,2278,698,8852
23,3.10.3,2014-06-05,1402025938,1.8,0,1.0,1.0,2276,696,8840
24,3.10.4,2014-06-09,1402354432,1.8,0,1.0,1.0,2276,696,8840
25,3.19.0,2015-01-09,1420783632,1.9,0,1.0,1.0,2287,700,8952
26,3.19.1,2015-01-21,1421828296,1.9,0,1.0,1.0,2298,700,9007
27,3.19.2,2015-02-01,1422821753,1.9,0,1.0,1.0,2298,700,9007
28,3.20.0,2015-02-18,1424312755,1.9,0,1.0,1.0,2305,702,9080
29,3.20.1,2015-02-28,1425183387,1.9,0,1.0,1.0,2315,707,9120
30,4.13.4,2016-01-21,1453428645,2.2,0,1.0,1.0,2865,940,11678
31,4.14.0,2016-06-16,1466089424,2.2,0,1.0,1.0,2866,925,11720
32,4.14.1,2017-01-28,1485642084,2.2,0,1.0,1.0,2867,924,11718
33,4.15.0,2017-03-01,1488406938,2.2,0,1.0,1.0,2895,919,11856
34,4.15.1,2017-03-05,1488773972,2.2,0,1.0,1.0,2886,922,11852
35,4.15.2,2017-03-06,1488807278,2.2,0,1.0,1.0,2886,922,11852
36,4.15.3,2017-05-17,1495001651,2.2,0,1.0,1.0,2898,928,11915
37,4.16.3,2018-03-12,1520876324,2.2,0,1.0,1.0,2952,950,12111
38,4.16.4,2018-10-10,1539229845,2.2,0,1.0,1.0,2967,947,12168
39,5.0.0-alpha.7,2018-10-26,1540607355,2.1,0,1.0,1.0,2649,684,10940
40,4.17.0,2019-05-16,1558056342,2.1,0,1.0,1.0,3532,1041,14846
41,4.17.1,2019-05-26,1558844695,2.1,0,1.0,1.0,3524,1039,14817
42,5.0.0-alpha.8,2020-03-25,1585181687,2.0,0,1.0,1.0,3206,776,13589
43,4.17.2,2021-12-16,1639712449,2.1,0,1.0,1.0,3544,1049,14892
44,4.17.3,2022-02-16,1645063422,2.1,0,1.0,1.0,3595,1053,15271
45,4.18.0,2022-04-25,1650912808,2.0,0,1.0,1.0,3912,1231,16808
46,4.18.1,2022-04-29,1651260746,2.0,0,1.0,1.0,3916,1231,16819
47,4.18.2,2022-10-08,1665259902,2.0,0,1.0,1.0,3919,1230,16843
48,v5.0.0-beta.1,2022-02-14,1644883994,2.0,0,1.0,1.0,3206,779,13563
