,version,release_date,timestamp,sqale_debt_ratio,vulnerabilities,security_rating,sqale_rating,complexity,cognitive_complexity,ncloc
0,v0.4.0,2013-02-18,1361206207,1.6,0,1.0,1.0,712,407,3753
1,v0.4.1,2013-03-13,1363184208,1.6,0,1.0,1.0,772,413,3939
2,v0.4.2,2013-12-16,1387222558,1.6,0,1.0,1.0,799,447,4025
3,_pr1108_author_head,2014-03-31,1396233124,1.6,0,1.0,1.0,725,408,3819
4,_pr1170_author_head,2014-06-20,1403285855,1.6,0,1.0,1.0,602,362,3541
5,v0.4.3,2014-03-07,1394216677,1.6,0,1.0,1.0,724,408,3815
6,v0.4.4,2014-03-12,1394656115,1.6,0,1.0,1.0,724,408,3815
7,v0.4.5,2014-05-12,1399916630,1.6,0,1.0,1.0,591,355,3479
8,v1.0.0,2016-04-04,1459811577,1.6,0,1.0,1.0,676,421,3734
9,v1.0.0-rc1,2016-02-11,1455212775,1.6,0,1.0,1.0,609,369,3582
10,v1.0.1,2016-04-05,1459879814,1.6,0,1.0,1.0,676,421,3734
11,v1.0.2,2018-02-07,1518039686,1.6,0,1.0,1.0,678,421,3726
12,v1.0.3,2018-06-03,1528071909,1.6,0,1.0,1.0,642,380,3597
13,v1.0.4,2019-03-22,1553280468,1.6,0,1.0,1.0,643,381,3601
14,v1.1.0,2020-03-16,1584412394,1.6,0,1.0,1.0,643,381,3601
15,v1.2.0,2020-07-03,1593797256,1.6,0,1.0,1.0,651,394,3658
16,v1.2.1,2020-07-07,1594132068,1.6,0,1.0,1.0,651,394,3657
17,v1.3.0,2020-08-18,1597780110,1.6,0,1.0,1.0,654,398,3665
18,v1.4.0,2021-04-22,1619105367,1.6,0,1.0,1.0,654,398,3665
19,v1.4.1,2021-05-24,1621866300,1.6,0,1.0,1.0,654,398,3665
20,v1.5.0,2022-04-10,1649647619,1.6,0,1.0,1.0,662,403,3703
21,v1.5.1,2022-04-11,1649690255,1.6,0,1.0,1.0,662,403,3702
22,v1.5.2,2022-04-12,1649764687,1.6,0,1.0,1.0,662,404,3701
23,v1.5.3,2022-05-10,1652184368,1.6,0,1.0,1.0,663,404,3706
24,v1.6.0,2023-01-28,1674956424,1.6,0,1.0,1.0,663,404,3706
25,v1.6.1,2023-01-31,1675177851,1.6,0,1.0,1.0,663,404,3704
