,version,release_date,timestamp,sqale_debt_ratio,vulnerabilities,security_rating,sqale_rating,complexity,cognitive_complexity,ncloc
0,v1.0,2010-04-22,1271978111,1.2,0,1.0,1.0,269,260,5106
1,1.1.4-lastest,2011-11-14,1321287860,1.6,0,1.0,1.0,829,1008,7196
2,1.1.5-extend_patch,2011-12-14,1323818575,1.5,0,1.0,1.0,863,1032,7402
3,v1.3.0,2012-03-10,1331408187,1.6,0,1.0,1.0,1058,1286,8388
4,v1.3.1,2012-10-18,1350544225,1.6,0,1.0,1.0,1282,1556,9994
5,v1.3.2,2012-12-28,1356733810,1.7,0,1.0,1.0,2104,2276,13376
6,v1.3.3,2012-12-30,1356860149,1.7,0,1.0,1.0,2107,2281,13395
7,v1.4.0,2013-06-05,1370463467,1.6,0,1.0,1.0,2485,2680,15782
8,v1.4.0-b1,2013-03-08,1362730978,1.7,0,1.0,1.0,2494,2732,15660
9,v1.4.0-b2,2013-03-18,1363609434,1.7,0,1.0,1.0,2500,2727,15779
10,v1.4.0-b3,2013-04-30,1367332592,1.6,0,1.0,1.0,2485,2680,15782
11,v1.4.0-b4,2013-05-04,1367648317,1.6,0,1.0,1.0,2485,2680,15782
12,v1.6.0,2014-01-01,1388597379,1.4,0,1.0,1.0,2979,3387,19007
13,v1.6.1,2014-01-12,1389527888,1.4,0,1.0,1.0,2991,3414,19050
14,v1.6.2,2014-02-02,1391366219,1.5,0,1.0,1.0,3445,3907,20951
15,v1.6.3,2014-02-08,1391878277,1.5,0,1.0,1.0,3446,3911,20954
16,v1.7.0,2014-02-27,1393532188,1.5,0,1.0,1.0,3535,4050,21590
17,v2.2.0,2015-01-04,1420372079,1.3,0,1.0,1.0,3055,3362,20996
18,v2.3.0,2015-01-27,1422317926,1.4,0,1.0,1.0,3125,3454,21336
19,v2.3.1,2015-01-28,1422466174,1.4,0,1.0,1.0,3138,3468,21465
20,v2.4.0,2015-02-08,1423395709,1.4,0,1.0,1.0,3168,3517,21668
21,v2.5.0,2015-04-03,1428051196,1.4,0,1.0,1.0,3288,3636,22585
22,v2.6.0,2016-01-29,1454097313,1.4,0,1.0,1.0,3356,3651,23120
23,v2.6.1,2016-03-04,1457109477,1.4,0,1.0,1.0,3362,3656,23199
24,v2.7.0,2016-05-07,1462671307,1.4,0,1.0,1.0,3410,3681,23393
25,v2.7.1,2016-05-09,1462826317,1.4,0,1.0,1.0,3407,3685,23390
26,v2.7.2,2017-01-04,1483581478,1.4,0,1.0,1.0,3411,3687,23460
27,v2.7.3,2017-10-23,1508812999,1.4,0,1.0,1.0,3411,3687,23460
28,v3.0.0-alpha.3,2017-10-08,1507512840,1.4,0,1.0,1.0,3603,4010,24453
29,v3.0.0,2018-02-10,1518326500,1.4,0,1.0,1.0,3591,4000,24482
30,v3.0.0-RC.1,2018-02-04,1517766519,1.4,0,1.0,1.0,3600,4008,24482
31,v3.0.0-RC.2,2018-02-10,1518310673,1.4,0,1.0,1.0,3591,4000,24482
32,v3.0.1,2018-02-14,1518654505,1.4,0,1.0,1.0,3592,4002,24487
33,v3.0.3,2018-04-18,1524088457,1.4,0,1.0,1.0,3599,4041,24513
34,v3.10.0,2019-08-16,1566010830,1.4,0,1.0,1.0,3599,4041,24513
35,v3.10.0-beta,2019-08-03,1564855165,0.5,0,1.0,1.0,3888,4488,43286
36,v3.10.0-beta.2,2019-08-07,1565209926,0.5,0,1.0,1.0,3889,4490,43300
37,v3.10.1,2019-08-17,1566092212,0.5,0,1.0,1.0,3889,4490,43300
38,v3.10.3,2019-08-22,1566518786,0.5,0,1.0,1.0,3887,4490,43273
39,v3.11.0,2020-02-09,1581285157,0.5,0,1.0,1.0,3907,4478,48725
40,v3.11.1,2020-02-10,1581400396,0.5,0,1.0,1.0,3898,4475,48698
41,v3.11.2,2020-05-31,1590976250,0.5,0,1.0,1.0,3896,4470,48712
42,v3.11.3,2020-06-05,1591382657,0.5,0,1.0,1.0,3910,4489,48752
43,v3.12.0,2020-07-13,1594653454,0.4,0,1.0,1.0,3455,4007,47089
44,v4.1.0,2021-01-09,1610246345,0.6,0,1.0,1.0,3482,4028,34348
45,v4.1.1,2021-01-30,1612065234,0.6,0,1.0,1.0,3486,4032,34352
46,v4.1.2,2021-10-06,1633561081,0.6,0,1.0,1.0,3494,4053,34394
47,v4.1.3,2022-06-08,1654716207,0.6,0,1.0,1.0,3505,4066,34455
48,v4.2.0,2023-09-07,1694053956,0.6,0,1.0,1.0,3530,4099,35099
