,version,release_date,timestamp,sqale_debt_ratio,vulnerabilities,security_rating,sqale_rating,complexity,cognitive_complexity,ncloc
0,v0.3.0,2013-05-29,1369856771,0.5,10,4.0,1.0,37898,20042,246223
1,v0.3.3,2013-06-20,1371766458,3.6,0,1.0,1.0,4830,7246,22301
2,v0.4.0,2013-07-17,1374086011,3.4,0,1.0,1.0,5436,7593,25895
3,v0.4.1,2013-07-26,1374878032,3.4,0,1.0,1.0,5427,7576,25921
4,v0.4.2,2013-12-17,1387346417,3.4,0,1.0,1.0,5432,7576,25981
5,v0.10.0,2014-03-21,1395434042,3.4,0,1.0,1.0,5432,7576,25981
6,v0.10.0-rc1,2014-03-18,1395205772,2.3,0,1.0,1.0,4401,2384,28597
7,v0.11.0,2014-07-17,1405630026,2.3,0,1.0,1.0,4401,2384,28597
8,v0.11.0-rc1,2014-07-12,1405219845,2.3,0,1.0,1.0,4770,2516,31389
9,v0.11.1,2014-07-25,1406312952,2.3,0,1.0,1.0,4781,2531,31450
10,v0.13.0,2015-03-10,1426023929,2.3,0,1.0,1.0,5664,3078,36733
11,v0.13.0-rc1,2015-02-22,1424640373,2.3,0,1.0,1.0,5598,3060,36326
12,v0.13.0-rc2,2015-03-03,1425411961,2.3,0,1.0,1.0,5653,3074,36677
13,v0.13.1,2015-03-16,1426549830,2.3,0,1.0,1.0,5675,3080,36801
14,v0.13.2,2015-04-18,1429396128,2.3,0,1.0,1.0,5689,3085,36913
15,15.3.1,2016-09-09,1473448327,3.9,0,1.0,1.0,4335,4591,14816
16,v0.14.6,2016-01-06,1452122793,3.9,0,1.0,1.0,4335,4591,14816
17,v0.14.7,2016-01-28,1454009306,2.7,2,4.0,1.0,8237,8177,47303
18,v0.14.8,2016-03-29,1459266565,2.7,2,4.0,1.0,8237,8177,47303
19,v15.0.0,2016-04-07,1460056070,2.7,2,4.0,1.0,8241,8180,47399
20,15.3.2,2017-03-16,1489715923,1.9,0,1.0,1.0,11737,6358,69460
21,16.0.0-beta.1,2017-07-26,1501098931,1.9,0,1.0,1.0,11737,6358,69460
22,16.0.0-beta.3,2017-08-03,1501801528,1.4,1,4.0,1.0,12872,6972,81935
23,16.0.0-beta.4,2017-08-08,1502208497,1.4,1,4.0,1.0,13058,7079,83217
24,16.0.0-beta.5,2017-08-08,1502213125,1.4,1,4.0,1.0,13125,7098,83570
25,v0.0.0-88ada9819,2018-11-28,1543442205,1.4,1,4.0,1.0,13140,7100,83641
26,v16.3.0,2018-03-29,1522354032,0.4,1,4.0,1.0,13117,5350,85363
27,v16.3.0-alpha.0,2018-02-02,1517605294,0.4,1,4.0,1.0,12535,5296,81822
28,v16.3.0-alpha.1,2018-02-12,1518460901,0.4,1,4.0,1.0,12651,5337,82516
29,v16.3.0-alpha.2,2018-03-14,1521059200,0.3,1,4.0,1.0,12963,5400,84581
30,1.2.5,2019-03-29,1553874819,0.3,1,4.0,1.0,12963,5400,84581
31,status,2019-10-21,1571695735,0.2,9,4.0,1.0,339,196,3551
32,v16.10.0,2019-09-25,1569450387,0.3,12,4.0,1.0,24515,10490,166415
33,v16.10.1,2019-09-28,1569693057,0.3,12,4.0,1.0,24325,10147,164803
34,v16.10.2,2019-10-03,1570127072,0.3,12,4.0,1.0,24326,10147,164813
35,0.14.10,2020-10-14,1602703969,0.3,12,4.0,1.0,24326,10147,164813
36,v0.0.0-d7382b6c4,2020-03-30,1585592704,2.2,14,4.0,1.0,66139,73420,328950
37,v0.0.0-experimental-8b155d261,2020-03-11,1583955503,0.3,12,4.0,1.0,26018,11496,177570
38,v0.0.0-experimental-aae83a4b9,2020-03-17,1584492974,0.3,12,4.0,1.0,25470,11218,174374
39,v0.0.0-experimental-d7382b6c4,2020-03-30,1585592704,0.3,12,4.0,1.0,26018,11496,177570
40,v0.0.0-experimental-27659559e,2021-01-04,1609775180,0.3,12,4.0,1.0,26018,11496,177570
41,v17.0.2,2021-03-22,1616443295,0.5,12,4.0,1.0,31563,16703,207347
42,v18.0.0,2022-03-29,1648570053,0.3,12,4.0,1.0,28150,12687,193011
43,v18.1.0,2022-04-26,1651004928,0.5,10,4.0,1.0,36863,19521,238294
44,v18.2.0,2022-06-08,1654732789,0.5,10,4.0,1.0,37431,19792,242661
