,version,release_date,timestamp,sqale_debt_ratio,vulnerabilities,security_rating,sqale_rating,complexity,cognitive_complexity,ncloc
0,v0.0.2,2016-11-20,1479665674,0.7,0,1.0,1.0,321,431,1931
1,v0.1.0,2016-11-20,1479700627,0.6,0,1.0,1.0,375,445,2190
2,v0.1.1,2016-11-22,1479819871,0.6,0,1.0,1.0,480,500,2735
3,v0.2.0,2016-11-25,1480107163,0.6,0,1.0,1.0,588,614,3492
4,v0.2.1,2016-11-25,1480112805,0.6,0,1.0,1.0,588,614,3499
5,v1.10.0,2017-03-04,1488604556,0.5,0,1.0,1.0,1567,1253,8363
6,v1.10.1,2017-03-06,1488835051,0.5,0,1.0,1.0,1569,1258,8373
7,v1.10.2,2017-03-06,1488839941,0.5,0,1.0,1.0,1572,1260,8376
8,v1.11.0,2017-03-07,1488914760,0.6,0,1.0,1.0,1746,1392,8885
9,v1.11.1,2017-03-08,1488994007,0.6,0,1.0,1.0,1753,1396,8922
10,v1.50.1,2018-01-02,1514905321,0.6,0,1.0,1.0,1753,1396,8922
11,v1.51.0,2018-01-06,1515275817,0.7,0,1.0,1.0,6677,4826,33987
12,v1.51.1,2018-01-10,1515637863,0.7,0,1.0,1.0,6685,4826,34029
13,v1.52.0,2018-01-18,1516330229,0.7,0,1.0,1.0,6692,4833,34042
14,v1.53.0,2018-01-20,1516461694,0.7,0,1.0,1.0,6797,4912,34476
15,v2.16.1,2019-02-08,1549633130,0.7,0,1.0,1.0,6797,4912,34478
16,v3.0.0,2019-04-21,1555851960,0.5,0,1.0,1.0,6688,4400,39060
17,v3.0.0-beta.24,2019-04-14,1555269734,0.5,0,1.0,1.0,5858,4880,34424
18,v3.0.1,2019-04-24,1556164208,0.5,0,1.0,1.0,5857,4866,34461
19,v3.1.0,2019-04-25,1556248858,0.5,0,1.0,1.0,5967,4897,34965
20,v3.17.0,2020-01-13,1578934746,0.5,0,1.0,1.0,5967,4897,34965
21,v3.17.1,2020-01-14,1579022212,0.4,0,1.0,1.0,6965,5481,42540
22,v3.17.2,2020-01-20,1579573095,0.4,0,1.0,1.0,6968,5485,42555
23,v3.17.3,2020-01-23,1579792061,0.4,0,1.0,1.0,6974,5489,42607
24,v3.18.0,2020-01-25,1579973179,0.4,0,1.0,1.0,6979,5492,42649
25,v3.31.1,2021-01-01,1609552865,0.4,0,1.0,1.0,6982,5493,42671
26,v3.31.2,2021-01-04,1609797181,0.4,0,1.0,1.0,7996,6254,50500
27,v3.32.0,2021-01-25,1611615173,0.4,0,1.0,1.0,8031,6297,50760
28,v3.32.1,2021-01-29,1611950790,0.4,0,1.0,1.0,8090,6332,51029
29,v3.32.2,2021-02-08,1612812482,0.4,0,1.0,1.0,8146,6375,51275
30,v3.45.0,2022-01-06,1641503291,0.4,0,1.0,1.0,8160,6395,51387
31,v3.46.0,2022-01-11,1641939069,0.5,0,1.0,1.0,8588,6846,53691
32,v3.46.1,2022-01-12,1642018516,0.5,0,1.0,1.0,8715,6943,54529
33,v3.46.2,2022-01-14,1642203847,0.5,0,1.0,1.0,8717,6945,54571
34,v3.46.3,2022-01-26,1643210322,0.5,0,1.0,1.0,8717,6945,54578
35,svelte@4.0.0,2023-06-22,1687440957,0.5,0,1.0,1.0,8727,6958,54647
36,svelte@4.0.0-next.0,2023-05-26,1685126972,0.4,0,1.0,1.0,10688,8306,67123
37,svelte@4.0.0-next.1,2023-06-08,1686277926,0.5,0,1.0,1.0,10446,8170,64856
38,svelte@4.0.0-next.3,2023-06-22,1687433690,0.4,0,1.0,1.0,10421,8100,64874
39,svelte@4.0.1,2023-06-29,1688024131,0.4,0,1.0,1.0,10688,8307,67108
