,version,release_date,timestamp,sqale_debt_ratio,vulnerabilities,security_rating,sqale_rating,complexity,cognitive_complexity,ncloc
0,0.6.0,2013-12-07,1386462737,1.6,0,1.0,1.0,1274,672,6820
1,v0.7.0,2013-12-23,1387855865,1.6,0,1.0,1.0,1329,696,7105
2,v0.7.1,2013-12-24,1387922313,1.6,0,1.0,1.0,1433,711,7387
3,v0.7.2,2013-12-28,1388209420,1.6,0,1.0,1.0,1439,714,7401
4,0.10.0-rc,2014-03-19,1395263823,2.3,0,1.0,1.0,3353,2625,15241
5,0.11.0,2014-11-06,1415325162,2.4,0,1.0,1.0,2943,1998,14564
6,0.11.0-rc,2014-09-26,1411781027,2.3,0,1.0,1.0,2835,1935,13904
7,0.11.0-rc2,2014-10-07,1412701646,2.3,0,1.0,1.0,2843,1928,13986
8,0.11.0-rc3,2014-10-24,1414123890,2.4,0,1.0,1.0,2912,1958,14418
9,0.11.10,2015-05-07,1431025236,2.4,0,1.0,1.0,3302,2223,16638
10,0.11.5,2015-02-05,1423171588,2.4,0,1.0,1.0,3123,2103,15558
11,0.11.6,2015-04-18,1429341079,2.4,0,1.0,1.0,3240,2199,16222
12,0.11.7,2015-04-20,1429586386,2.4,0,1.0,1.0,3247,2200,16261
13,0.11.8,2015-04-21,1429647040,2.4,0,1.0,1.0,3231,2184,16207
14,v1.0.14,2016-01-11,1452543146,1.8,0,1.0,1.0,4187,2743,21611
15,v1.0.14-csp,2016-01-11,1452544748,2.0,0,1.0,1.0,5205,4379,25338
16,v1.0.15,2016-01-18,1453146224,1.8,0,1.0,1.0,4196,2748,21688
17,v1.0.15-csp,2016-01-18,1453146702,2.0,0,1.0,1.0,5214,4384,25417
18,v1.0.16,2016-01-30,1454146899,1.8,0,1.0,1.0,4241,2775,21925
19,v2.1.10,2017-01-17,1484673432,1.4,1,5.0,1.0,10268,8997,45492
20,v2.1.9,2017-01-16,1484610487,1.4,1,5.0,1.0,10264,9011,45467
21,v2.2.0,2017-02-25,1488083295,1.6,1,5.0,1.0,11502,12246,49590
22,v2.2.0-beta.1,2017-02-23,1487910141,1.7,1,5.0,1.0,12533,13364,52981
23,v2.2.0-beta.2,2017-02-24,1487980870,1.6,1,5.0,1.0,11485,12232,49494
24,v2.5.14,2018-03-09,1520631707,1.5,1,5.0,1.0,12308,14529,57362
25,v2.5.15,2018-03-10,1520725002,1.5,1,5.0,1.0,12309,14529,57363
26,v2.5.16,2018-03-13,1520979260,1.5,1,5.0,1.0,12419,14613,57781
27,v2.5.17,2018-08-01,1533151873,1.5,1,5.0,1.0,12426,14617,57824
28,v2.5.17-beta.0,2018-03-23,1521847742,1.5,1,5.0,1.0,12447,14626,57890
29,v2.5.22,2019-01-11,1547248711,1.7,1,5.0,1.0,12620,14716,59566
30,v2.6.0,2019-02-04,1549295824,1.9,1,5.0,1.0,15610,18320,70053
31,v2.6.0-beta.1,2019-01-16,1547655667,1.9,1,5.0,1.0,15344,17933,68993
32,v2.6.0-beta.2,2019-01-25,1548477520,1.9,1,5.0,1.0,15569,18284,69900
33,v2.6.0-beta.3,2019-01-30,1548860377,1.9,1,5.0,1.0,15581,18299,69960
34,v2.6.12,2020-08-20,1597929059,1.9,1,5.0,1.0,16216,19090,72202
35,v2.6.13,2021-06-01,1622557728,1.9,1,5.0,1.0,16333,19135,72790
36,v2.6.14,2021-06-07,1623059728,1.9,1,5.0,1.0,16361,19147,72898
37,v2.7.0,2022-07-01,1656649346,0.4,1,5.0,1.0,10578,6846,60596
38,v2.7.0-alpha.1,2022-05-31,1653991057,0.4,1,5.0,1.0,9455,5671,54767
39,v2.7.0-alpha.10,2022-06-16,1655371108,0.4,1,5.0,1.0,10478,6776,60029
40,v2.7.0-alpha.11,2022-06-16,1655373221,0.4,1,5.0,1.0,10478,6776,60024
41,v2.7.0-alpha.12,2022-06-16,1655387579,0.4,1,5.0,1.0,10499,6811,60121
42,v2.7.15,2023-10-23,1698047740,0.4,1,5.0,1.0,10936,7019,62954
