version,release_date,timestamp,complexity,cognitive_complexity,duplicated_blocks,duplicated_files,duplicated_lines,duplicated_lines_density,violations,blocker_violations,critical_violations,major_violations,minor_violations,false_positive_issues,code_smells,sqale_index,sqale_rating,sqale_debt_ratio,bugs,reliability_rating,reliability_remediation_effort,vulnerabilities,security_rating,security_remediation_effort,security_hotspots,security_review_rating,ncloc,statements
v4.6.7,2023-09-04,1693837403,6805,11,90,56,3087,3.9,770,2,18,563,185,0,728,3754,1.0,0.2,42,5.0,208,0,1.0,0,33,5.0,68125,15402
v4.6.8,2023-09-10,1694310416,6805,11,90,56,3087,3.9,770,2,18,563,185,0,728,3754,1.0,0.2,42,5.0,208,0,1.0,0,33,5.0,68125,15402
v4.7.0,2023-09-24,1695564091,6812,11,90,56,3087,3.8,770,2,18,563,185,0,728,3754,1.0,0.2,42,5.0,208,0,1.0,0,33,5.0,68247,15413
v4.7.1,2023-10-06,1696560298,6831,11,90,56,3087,3.8,770,2,18,563,185,0,728,3754,1.0,0.2,42,5.0,208,0,1.0,0,33,5.0,68416,15480
v4.7.2,2023-10-15,1697363094,6834,11,90,56,3087,3.8,770,2,18,563,185,0,728,3754,1.0,0.2,42,5.0,208,0,1.0,0,33,5.0,68432,15483
v4.8.10,2024-04-06,1712412481,6841,11,90,56,3087,3.8,771,2,19,563,185,0,729,3765,1.0,0.2,42,5.0,208,0,1.0,0,33,5.0,68457,15501
v4.8.11,2024-04-14,1713100867,6993,11,91,57,3107,3.8,775,2,18,568,184,0,733,3784,1.0,0.2,42,5.0,208,0,1.0,0,33,5.0,69805,15876
v4.8.2,2024-01-03,1704290764,7002,11,91,57,3107,3.8,775,2,18,568,184,0,733,3784,1.0,0.2,42,5.0,208,0,1.0,0,33,5.0,69878,15907
v4.8.3,2024-01-20,1705755336,6924,12,91,57,3107,3.8,778,2,18,569,187,0,736,3804,1.0,0.2,42,5.0,208,0,1.0,0,33,5.0,69346,15741
v4.8.4,2024-02-03,1706948058,6935,11,91,57,3107,3.8,773,2,18,569,182,0,731,3779,1.0,0.2,42,5.0,208,0,1.0,0,33,5.0,69471,15788
