version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v0.3.0,2013-05-29,1369856771,0,0,11,37,0,0,51,323,0,0,18,90
v0.3.3,2013-06-20,1371766458,0,0,12,37,0,0,52,328,0,0,16,80
v0.4.0,2013-07-17,1374086011,0,0,4,5,0,0,7,32,0,0,89,445
v0.4.1,2013-07-26,1374878032,0,0,5,10,0,0,6,30,0,0,89,445
v0.4.2,2013-12-17,1387346417,0,0,5,10,0,0,6,30,0,0,89,445
v0.10.0,2014-03-21,1395434042,0,0,5,10,0,0,8,40,0,0,87,435
v0.10.0-rc1,2014-03-18,1395205772,0,0,0,0,0,0,11,75,0,0,88,440
v0.11.0,2014-07-17,1405630026,0,0,2,0,0,0,15,95,0,0,80,400
v0.11.0-rc1,2014-07-12,1405219845,0,0,1,0,0,0,10,60,0,0,89,436
v0.11.1,2014-07-25,1406312952,0,0,2,2,0,0,10,60,0,0,88,431
v0.13.0,2015-03-10,1426023929,0,0,3,2,0,0,9,55,0,0,88,431
v0.13.0-rc1,2015-02-22,1424640373,0,0,1,5,0,0,9,55,0,0,74,319
v0.13.0-rc2,2015-03-03,1425411961,0,0,1,5,0,0,10,57,0,0,73,314
v0.13.1,2015-03-16,1426549830,0,0,13,22,0,0,19,114,0,0,50,250
v0.13.2,2015-04-18,1429396128,0,0,39,29,0,0,59,525,0,0,0,0
15.3.1,2016-09-09,1473448327,0,0,33,22,0,0,53,470,0,0,12,60
v0.14.6,2016-01-06,1452122793,0,0,22,13,0,0,51,414,0,0,24,120
v0.14.7,2016-01-28,1454009306,0,0,21,8,0,0,41,349,0,0,34,170
v0.14.8,2016-03-29,1459266565,0,0,18,6,0,0,33,299,0,0,45,225
v15.0.0,2016-04-07,1460056070,0,0,5,1,0,0,91,535,0,0,4,20
15.3.2,2017-03-16,1489715923,0,0,1,1,0,0,7,35,0,0,92,460
16.0.0-beta.1,2017-07-26,1501098931,0,0,0,0,0,0,11,11,0,0,89,445
16.0.0-beta.3,2017-08-03,1501801528,0,0,3,0,0,0,6,24,0,0,91,455
16.0.0-beta.4,2017-08-08,1502208497,0,0,21,28,0,0,59,407,0,0,15,75
16.0.0-beta.5,2017-08-08,1502213125,0,0,19,11,0,0,48,367,0,0,33,165
v0.0.0-88ada9819,2018-11-28,1543442205,0,0,18,11,0,0,48,367,0,0,34,170
v16.3.0,2018-03-29,1522354032,0,0,18,15,0,0,50,352,0,0,32,160
v16.3.0-alpha.0,2018-02-02,1517605294,0,0,43,33,0,0,51,350,0,0,6,26
v16.3.0-alpha.1,2018-02-12,1518460901,0,0,43,29,0,0,47,305,0,0,9,41
v16.3.0-alpha.2,2018-03-14,1521059200,0,0,43,29,0,0,47,305,0,0,9,41
1.2.5,2019-03-29,1553874819,0,0,43,24,0,0,47,305,0,0,9,41
status,2019-10-21,1571695735,0,0,43,24,0,0,47,305,0,0,9,41
v16.10.0,2019-09-25,1569450387,0,0,42,19,0,0,47,284,0,0,8,40
v16.10.1,2019-09-28,1569693057,0,0,43,19,0,0,46,279,0,0,8,40
v16.10.2,2019-10-03,1570127072,0,0,45,19,0,0,44,269,0,0,8,40
0.14.10,2020-10-14,1602703969,0,0,45,19,0,0,43,264,0,0,9,45
v0.0.0-d7382b6c4,2020-03-30,1585592704,0,0,48,50,0,0,23,117,0,0,20,100
v0.0.0-experimental-8b155d261,2020-03-11,1583955503,0,0,48,50,0,0,34,167,0,0,3,14
v0.0.0-experimental-aae83a4b9,2020-03-17,1584492974,0,0,42,20,0,0,40,197,0,0,3,14
v0.0.0-experimental-d7382b6c4,2020-03-30,1585592704,0,0,42,10,0,0,39,192,0,0,4,18
v0.0.0-experimental-27659559e,2021-01-04,1609775180,0,0,42,10,0,0,39,192,0,0,4,18
v17.0.2,2021-03-22,1616443295,0,0,49,15,0,0,35,170,0,0,8,30
v18.0.0,2022-03-29,1648570053,0,0,49,15,0,0,35,170,0,0,8,30
v18.1.0,2022-04-26,1651004928,0,0,56,11,0,0,27,130,0,0,9,27
v18.2.0,2022-06-08,1654732789,0,0,54,11,0,0,29,125,0,0,9,27
