version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
0.6.0,2013-12-07,1386462737,0,0,92,477,0,0,2,10,0,0,3,30
v0.7.0,2013-12-23,1387855865,0,0,92,477,0,0,2,10,0,0,3,30
v0.7.1,2013-12-24,1387922313,0,0,92,477,0,0,2,10,0,0,3,30
v0.7.2,2013-12-28,1388209420,0,0,92,477,0,0,2,10,0,0,3,30
0.10.0-rc,2014-03-19,1395263823,0,0,92,477,0,0,2,10,0,0,3,30
0.11.0,2014-11-06,1415325162,0,0,92,477,0,0,2,10,0,0,3,30
0.11.0-rc,2014-09-26,1411781027,0,0,90,477,0,0,4,20,0,0,3,30
0.11.0-rc2,2014-10-07,1412701646,0,0,89,472,0,0,5,25,0,0,3,30
0.11.0-rc3,2014-10-24,1414123890,0,0,89,472,0,0,5,25,0,0,3,30
0.11.10,2015-05-07,1431025236,0,0,89,472,0,0,5,25,0,0,3,30
0.11.5,2015-02-05,1423171588,0,0,89,472,0,0,5,25,0,0,3,30
0.11.6,2015-04-18,1429341079,0,0,88,467,0,0,6,30,0,0,3,30
0.11.7,2015-04-20,1429586386,0,0,88,467,0,0,6,30,0,0,3,30
0.11.8,2015-04-21,1429647040,0,0,88,467,0,0,6,30,0,0,3,30
v1.0.14,2016-01-11,1452543146,0,0,88,467,0,0,6,30,0,0,3,30
v1.0.14-csp,2016-01-11,1452544748,0,0,88,477,0,0,6,30,0,0,3,30
v1.0.15,2016-01-18,1453146224,0,0,88,477,0,0,6,30,0,0,3,30
v1.0.15-csp,2016-01-18,1453146702,0,0,88,477,0,0,6,30,0,0,3,30
v1.0.16,2016-01-30,1454146899,0,0,88,477,0,0,6,30,0,0,3,30
v2.1.10,2017-01-17,1484673432,0,0,88,477,0,0,6,30,0,0,3,30
v2.1.9,2017-01-16,1484610487,0,0,88,477,0,0,6,30,0,0,3,30
v2.2.0,2017-02-25,1488083295,0,0,88,477,0,0,6,30,0,0,3,30
v2.2.0-beta.1,2017-02-23,1487910141,0,0,88,477,0,0,8,40,0,0,2,20
v2.2.0-beta.2,2017-02-24,1487980870,0,0,89,472,0,0,10,50,0,0,0,0
v2.5.14,2018-03-09,1520631707,0,0,89,472,0,0,10,50,0,0,0,0
v2.5.15,2018-03-10,1520725002,0,0,90,426,0,0,9,45,0,0,1,10
v2.5.16,2018-03-13,1520979260,0,0,90,426,0,0,9,45,0,0,1,10
v2.5.17,2018-08-01,1533151873,0,0,90,426,0,0,9,45,0,0,1,10
v2.5.17-beta.0,2018-03-23,1521847742,0,0,90,426,0,0,9,45,0,0,1,10
v2.5.22,2019-01-11,1547248711,0,0,90,426,0,0,9,45,0,0,1,10
v2.6.0,2019-02-04,1549295824,0,0,90,426,0,0,8,40,0,0,1,10
v2.6.0-beta.1,2019-01-16,1547655667,0,0,90,426,0,0,8,40,0,0,1,10
v2.6.0-beta.2,2019-01-25,1548477520,0,0,90,426,0,0,8,40,0,0,1,10
v2.6.0-beta.3,2019-01-30,1548860377,0,0,90,426,0,0,8,40,0,0,1,10
v2.6.12,2020-08-20,1597929059,0,0,90,426,0,0,8,40,0,0,1,10
v2.6.13,2021-06-01,1622557728,0,0,90,426,0,0,8,40,0,0,1,10
v2.6.14,2021-06-07,1623059728,0,0,90,426,0,0,8,40,0,0,1,10
v2.7.0,2022-07-01,1656649346,0,0,90,426,0,0,8,40,0,0,1,10
v2.7.0-alpha.1,2022-05-31,1653991057,0,0,90,421,0,0,8,40,0,0,1,10
v2.7.0-alpha.10,2022-06-16,1655371108,0,0,90,421,0,0,8,40,0,0,1,10
v2.7.0-alpha.11,2022-06-16,1655373221,0,0,90,421,0,0,8,40,0,0,1,10
v2.7.0-alpha.12,2022-06-16,1655387579,0,0,90,421,0,0,8,40,0,0,1,10
v2.7.15,2023-10-23,1698047740,0,0,90,421,0,0,8,40,0,0,1,10
