version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v4.6.7,2023-09-04,1693837403,0,0,0,0,0,0,0,0,0,0,0,0
v4.6.8,2023-09-10,1694310416,0,0,0,0,0,0,0,0,0,0,0,0
v4.7.0,2023-09-24,1695564091,0,0,0,0,0,0,0,0,0,0,0,0
v4.7.1,2023-10-06,1696560298,0,0,0,0,0,0,0,0,0,0,0,0
v4.7.2,2023-10-15,1697363094,0,0,0,0,0,0,0,0,0,0,0,0
v4.8.10,2024-04-06,1712412481,0,0,0,0,0,0,0,0,0,0,0,0
v4.8.11,2024-04-14,1713100867,0,0,0,0,0,0,0,0,0,0,0,0
v4.8.2,2024-01-03,1704290764,0,0,0,0,0,0,0,0,0,0,0,0
v4.8.3,2024-01-20,1705755336,0,0,0,0,0,0,0,0,0,0,0,0
v4.8.4,2024-02-03,1706948058,0,0,0,0,0,0,0,0,0,0,0,0
