version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v16.6.3,2018-11-12,1542074346,0,0,0,0,0,0,82,1225,0,0,18,701
v16.7.0,2018-12-14,1544814203,0,0,0,0,0,0,82,1225,0,0,18,701
v16.7.0-alpha.1,2018-11-13,1542137020,0,0,0,0,0,0,82,1220,0,0,18,701
v16.8.0,2019-02-05,1549388061,0,0,0,0,0,0,82,1220,0,0,18,701
v16.8.0-alpha.1,2019-01-15,1547592942,0,0,0,0,0,0,82,1220,0,0,18,510
v16.8.1,2019-02-06,1549473399,0,0,0,0,0,0,82,1220,0,0,18,510
v16.8.2,2019-02-14,1550164887,0,0,0,0,0,0,82,1220,0,0,18,510
v16.8.3,2019-02-21,1550769698,0,0,0,0,0,0,82,1220,0,0,18,519
v16.8.4,2019-03-05,1551827761,0,0,0,0,0,0,83,1235,0,0,17,411
v16.8.5,2019-03-22,1553266152,0,0,0,0,0,0,83,1235,0,0,17,456
v16.8.6,2019-03-27,1553756148,0,0,0,0,0,0,83,1235,0,0,17,456
v16.9.0,2019-08-05,1565035265,0,0,0,0,0,0,83,1235,0,0,17,456
v16.9.0-alpha.0,2019-04-03,1554308571,0,0,0,0,0,0,78,1160,0,0,22,639
v16.9.0-rc.0,2019-08-05,1565035265,0,0,0,0,0,0,78,1160,0,0,22,628
v17.0.0,2020-10-20,1603226024,0,0,0,0,0,0,78,1160,0,0,22,639
v17.0.1,2020-10-22,1603367960,0,0,0,0,0,0,82,1230,0,0,18,819
v17.0.2,2021-03-22,1616443295,0,0,0,0,0,0,82,1230,0,0,18,819
v18.0.0,2022-03-29,1648570053,0,0,0,0,0,0,82,1230,0,0,18,826
v18.1.0,2022-04-26,1651004928,0,0,0,0,0,0,84,1265,0,0,16,665
v18.2.0,2022-06-08,1654732789,0,0,0,0,0,0,84,1265,0,0,16,647
