version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v3.59.2,2023-06-20,1687278807,0,0,0,0,0,0,84,1265,0,0,16,647
v3.6.0,2019-06-25,1561482399,0,0,0,0,0,0,84,1265,0,0,16,647
v3.6.1,2019-06-25,1561488438,0,0,0,0,0,0,67,995,0,0,33,1076
v3.6.10,2019-07-30,1564512743,0,0,0,0,0,0,67,995,0,0,33,1076
v3.6.11,2019-08-03,1564854522,0,0,0,0,0,0,64,950,0,0,36,1093
v3.6.2,2019-06-29,1561834889,0,0,0,0,0,0,64,950,0,0,36,1112
v3.6.3,2019-07-01,1562030596,0,0,0,0,0,0,64,950,0,0,36,1108
v3.6.4,2019-07-03,1562167706,0,0,0,0,0,0,64,950,0,0,36,1099
v3.6.5,2019-07-07,1562509830,0,0,0,0,0,0,64,950,0,0,36,1094
v3.6.6,2019-07-09,1562684987,0,0,0,0,0,0,64,950,0,0,36,1094
v3.6.7,2019-07-10,1562762101,0,0,0,0,0,0,64,950,0,0,36,1094
v3.6.8,2019-07-23,1563890081,0,0,0,0,0,0,64,950,0,0,36,1094
v3.6.9,2019-07-26,1564146680,0,0,0,0,0,0,64,950,0,0,36,1096
v3.7.0,2019-08-04,1564965986,0,0,0,0,0,0,64,950,0,0,36,1093
v3.7.1,2019-08-06,1565096394,0,0,0,0,0,0,64,950,0,0,36,1112
v3.8.0,2019-08-12,1565608379,0,0,0,0,0,0,64,950,0,0,36,1118
v3.8.1,2019-08-14,1565831814,0,0,0,0,0,0,64,950,0,0,36,1118
v3.9.0,2019-08-20,1566305769,0,0,0,0,0,0,64,950,0,0,36,1118
v3.9.1,2019-08-22,1566478839,0,0,0,0,0,0,64,950,0,0,36,1120
v3.9.2,2019-09-03,1567560718,0,0,0,0,0,0,64,950,0,0,36,1120
