version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
v2.7.0-beta.4,2022-06-21,1655779879,0,0,0,0,0,0,63,935,0,0,37,1127
v2.7.0-beta.5,2022-06-22,1655864569,0,0,0,0,0,0,63,935,0,0,37,1127
v2.7.0-beta.6,2022-06-26,1656232914,0,0,0,0,0,0,63,935,0,0,37,1127
v2.7.0-beta.7,2022-06-27,1656313230,0,0,0,0,0,0,63,935,0,0,37,1127
v2.7.0-beta.8,2022-06-28,1656381608,0,0,0,0,0,0,63,935,0,0,37,1127
v2.7.1,2022-07-04,1656931115,0,0,0,0,0,0,63,935,0,0,37,1127
v2.7.10,2022-08-23,1661218182,0,0,0,0,0,0,63,935,0,0,37,1127
v2.7.11,2022-10-11,1665486786,0,0,0,0,0,0,62,920,0,0,38,1145
v2.7.12,2022-10-12,1665582096,0,0,0,0,0,0,62,920,0,0,38,1145
v2.7.13,2022-10-14,1665718916,0,0,0,0,0,0,62,920,0,0,38,1145
v2.7.14,2022-11-09,1667997592,0,0,0,0,0,0,62,920,0,0,38,1151
v2.7.15,2023-10-23,1698047740,0,0,0,0,0,0,62,920,0,0,38,1151
v2.7.2,2022-07-05,1656989687,0,0,0,0,0,0,62,920,0,0,38,1151
v2.7.3,2022-07-06,1657084582,0,0,0,0,0,0,62,920,0,0,38,1041
v2.7.4,2022-07-08,1657266381,0,0,0,0,0,0,62,920,0,0,38,1041
v2.7.5,2022-07-13,1657681717,0,0,0,0,0,0,62,920,0,0,38,1041
v2.7.6,2022-07-15,1657876348,0,0,0,0,0,0,62,920,0,0,38,1041
v2.7.7,2022-07-16,1657982731,0,0,0,0,0,0,62,920,0,0,38,1041
v2.7.8,2022-07-22,1658460279,0,0,0,0,0,0,62,920,0,0,38,1041
v2.7.9,2022-08-19,1660883232,0,0,0,0,0,0,62,920,0,0,38,1041
