version,date,timestamp,security_issues_low,reliability_issues_low,maintainability_issues_low,total_debt_low,security_issues_medium,reliability_issues_medium,maintainability_issues_medium,total_debt_medium,security_issues_high,reliability_issues_high,maintainability_issues_high,total_debt_high
0.10.0-rc,2014-03-19,1395263823,0,0,35,39,0,0,59,415,0,0,1,1
0.11.0,2014-11-06,1415325162,0,0,6,30,0,0,7,76,0,0,86,430
0.11.0-rc,2014-09-26,1411781027,0,0,5,25,0,0,10,91,0,0,84,420
0.11.0-rc2,2014-10-07,1412701646,0,0,5,25,0,0,11,106,0,0,83,415
0.11.0-rc3,2014-10-24,1414123890,0,0,2,10,0,0,5,35,0,0,93,465
0.11.1,2014-11-30,1417393461,0,0,5,25,0,0,4,57,0,0,91,455
0.11.10,2015-05-07,1431025236,0,0,0,0,0,0,10,50,0,0,90,450
0.11.2,2014-12-01,1417487864,0,0,0,0,0,0,10,50,0,0,90,450
0.11.3,2014-12-02,1417540925,0,0,1,5,0,0,11,65,0,0,88,440
0.11.4,2014-12-07,1417984981,0,0,3,15,0,0,10,80,0,0,87,435
0.11.5,2015-02-05,1423171588,0,0,4,15,0,0,8,70,0,0,88,440
0.11.6,2015-04-18,1429341079,0,0,5,20,0,0,10,90,0,0,85,425
0.11.7,2015-04-20,1429586386,0,0,5,20,0,0,9,75,0,0,86,430
0.11.8,2015-04-21,1429647040,0,0,5,20,0,0,9,75,0,0,86,430
0.11.9,2015-05-06,1430944803,0,0,4,15,0,0,9,75,0,0,87,435
0.12.0,2015-06-12,1434130469,0,0,0,0,0,0,12,60,0,0,88,440
0.12.0-beta2,2015-05-16,1431798762,0,0,0,0,0,0,12,57,0,0,87,435
0.12.0-beta3,2015-05-22,1432325270,0,0,0,0,0,0,11,52,0,0,88,440
0.12.0-beta4,2015-05-26,1432653677,0,0,0,0,0,0,10,47,0,0,89,445
0.12.0-beta5,2015-05-29,1432952850,0,0,0,0,0,0,9,42,0,0,90,450
0.12.0-csp,2015-06-12,1434142186,0,0,0,0,0,0,8,59,0,0,92,460
0.12.0-rc,2015-06-01,1433192205,0,0,0,0,0,0,9,64,0,0,91,455
0.12.0-rc2,2015-06-04,1433444419,0,0,0,0,0,0,8,59,0,0,91,455
0.12.1,2015-06-14,1434259685,0,0,1,5,0,0,9,55,0,0,88,440
0.12.1-csp,2015-06-14,1434261380,0,0,1,5,0,0,9,55,0,0,88,440
0.12.1-csp.1,2015-06-16,1434474074,0,0,1,5,0,0,9,55,0,0,88,440
0.12.1-csp.2,2015-06-16,1434474848,0,0,2,10,0,0,10,70,0,0,86,430
0.12.10,2015-08-09,1439177952,0,0,1,5,0,0,4,20,0,0,94,470
0.12.10-csp,2015-08-09,1439179081,0,0,1,5,0,0,5,25,0,0,93,465
0.12.11,2015-08-25,1440521879,0,0,0,0,0,0,3,15,0,0,96,480
0.12.11-csp,2015-08-25,1440522574,0,0,0,0,0,0,3,15,0,0,96,480
0.12.12,2015-08-26,1440578900,0,0,0,0,0,0,3,15,0,0,96,480
0.12.12-csp,2015-08-26,1440579652,0,0,0,0,0,0,3,15,0,0,96,480
0.12.13,2015-09-07,1441656612,0,0,0,0,0,0,4,20,0,0,94,470
0.12.14,2015-09-11,1441995393,0,0,0,0,0,0,3,15,0,0,95,475
0.12.14-csp,2015-09-11,1441995530,0,0,0,0,0,0,3,15,0,0,95,475
0.12.15,2015-09-19,1442698392,0,0,0,0,0,0,3,15,0,0,95,475
0.12.15-csp,2015-09-19,1442698762,0,0,0,0,0,0,3,15,0,0,95,475
0.12.16,2015-09-25,1443212396,0,0,0,0,0,0,4,20,0,0,93,465
0.12.16-csp,2015-09-25,1443212949,0,0,0,0,0,0,4,20,0,0,93,465
0.12.2,2015-06-25,1435243912,0,0,12,60,0,0,14,190,0,0,73,365
0.12.3,2015-06-25,1435253881,0,0,12,60,0,0,14,190,0,0,73,365
0.12.4,2015-06-25,1435271173,0,0,12,60,0,0,14,190,0,0,73,365
0.12.5,2015-07-02,1435849468,0,0,0,0,0,0,4,20,0,0,69,345
0.12.6,2015-07-05,1436082494,0,0,0,0,0,0,5,25,0,0,69,345
0.12.6-csp,2015-07-05,1436084628,0,0,0,0,0,0,5,25,0,0,69,345
0.12.7,2015-07-08,1436295065,0,0,0,0,0,0,7,35,0,0,66,330
0.12.7-csp,2015-07-08,1436295234,0,0,0,0,0,0,7,35,0,0,66,330
0.12.8,2015-07-23,1437665007,0,0,0,0,0,0,6,30,0,0,69,345
0.12.8-csp,2015-07-23,1437676809,0,0,0,0,0,0,6,30,0,0,69,345
0.12.9,2015-07-31,1438374656,0,0,0,0,0,0,6,30,0,0,77,385
0.12.9-csp,2015-07-31,1438376983,0,0,0,0,0,0,6,30,0,0,77,385
0.6.0,2013-12-07,1386462737,0,0,0,0,0,0,10,61,0,0,87,435
1.0.0,2015-10-26,1445910011,0,0,0,0,0,0,11,66,0,0,87,435
1.0.0-alpha.1,2015-08-31,1441054760,0,0,8,0,0,0,10,67,0,0,81,405
1.0.0-alpha.2,2015-09-01,1441139068,0,0,9,5,0,0,11,72,0,0,79,395
1.0.0-alpha.3,2015-09-07,1441657261,0,0,8,5,0,0,11,55,0,0,79,395
1.0.0-alpha.4,2015-09-11,1441996053,0,0,4,5,0,0,15,75,0,0,78,390
1.0.0-alpha.5,2015-09-19,1442700877,0,0,4,5,0,0,17,85,0,0,76,380
1.0.0-alpha.6,2015-09-25,1443213290,0,0,1,5,0,0,16,80,0,0,80,400
1.0.0-alpha.7,2015-10-02,1443816780,0,0,0,0,0,0,15,75,0,0,79,395
1.0.0-alpha.8,2015-10-10,1444523911,0,0,0,0,0,0,13,65,0,0,82,410
1.0.0-beta.1,2015-09-21,1442862707,0,0,0,0,0,0,6,30,0,0,90,450
1.0.0-beta.2,2015-09-25,1443214388,0,0,0,0,0,0,10,50,0,0,88,440
1.0.0-beta.3,2015-10-02,1443817057,0,0,0,0,0,0,10,50,0,0,87,435
1.0.0-beta.4,2015-10-10,1444524453,0,0,0,0,0,0,9,45,0,0,87,435
1.0.0-csp,2015-10-26,1445908920,0,0,0,0,0,0,9,45,0,0,87,435
1.0.0-migration,2015-10-26,1445909456,0,0,3,0,0,0,7,35,0,0,89,445
1.0.0-rc.1,2015-10-15,1444943644,0,0,3,0,0,0,10,50,0,0,86,430
1.0.0-rc.2,2015-10-22,1445561011,0,0,3,0,0,0,13,65,0,0,81,405
1.0.0-rc.2-migration,2015-10-22,1445560640,0,0,2,0,0,0,13,65,0,0,82,410
1.0.1,2015-10-27,1445968707,0,0,0,0,0,0,17,85,0,0,80,400
1.0.10-csp,2015-11-23,1448315912,0,0,1,5,0,0,17,138,0,0,80,400
1.0.2,2015-10-28,1446083190,0,0,1,5,0,0,17,138,0,0,81,405
1.0.3,2015-10-28,1446084824,0,0,1,5,0,0,17,138,0,0,81,405
1.0.4,2015-10-31,1446323976,0,0,1,5,0,0,15,128,0,0,83,415
1.0.5,2015-11-05,1446752181,0,0,0,0,0,0,13,91,0,0,85,425
1.0.6,2015-11-05,1446753153,0,0,0,0,0,0,13,91,0,0,85,425
1.0.7,2015-11-06,1446827879,0,0,0,0,0,0,13,91,0,0,86,430
1.0.8,2015-11-12,1447365529,0,0,1,5,0,0,6,30,0,0,87,435
v0.10.0,2014-03-23,1395600781,0,0,1,5,0,0,5,25,0,0,88,440
v0.10.1,2014-03-24,1395648698,0,0,1,5,0,0,6,30,0,0,88,440
v0.10.2,2014-03-25,1395721170,0,0,1,5,0,0,6,30,0,0,88,440
v0.10.3,2014-03-26,1395875582,0,0,1,5,0,0,10,62,0,0,88,440
v0.10.4,2014-04-25,1398455232,0,0,0,0,0,0,14,125,0,0,85,425
v0.10.5,2014-06-06,1402081775,0,0,0,0,0,0,14,125,0,0,85,425
v0.10.6,2014-07-28,1406601816,0,0,0,0,0,0,14,125,0,0,84,420
v0.7.0,2013-12-23,1387855865,0,0,1,5,0,0,11,77,0,0,85,425
v0.7.1,2013-12-24,1387922313,0,0,1,5,0,0,12,82,0,0,84,420
v0.7.2,2013-12-28,1388209420,0,0,2,10,0,0,12,82,0,0,85,425
v0.7.3,2014-01-06,1389035592,0,0,1,5,0,0,9,42,0,0,89,445
v0.7.4,2014-01-10,1389390994,0,0,1,5,0,0,9,42,0,0,89,445
v0.7.5,2014-01-13,1389647085,0,0,1,5,0,0,9,42,0,0,89,445
v0.7.6,2014-01-18,1390102975,0,0,1,5,0,0,8,37,0,0,89,445
v0.8.0,2014-01-27,1390799747,0,0,1,5,0,0,9,42,0,0,88,440
v0.8.1,2014-02-02,1391320141,0,0,1,5,0,0,9,42,0,0,88,440
v0.8.2,2014-02-03,1391465904,0,0,1,5,0,0,10,47,0,0,87,435
v0.8.3,2014-02-07,1391779768,0,0,1,5,0,0,10,47,0,0,87,435
v0.8.4,2014-02-08,1391913563,0,0,1,5,0,0,7,32,0,0,88,440
v0.8.5,2014-02-11,1392145992,0,0,1,5,0,0,8,37,0,0,87,435
v0.8.6,2014-02-14,1392363734,0,0,1,5,0,0,8,37,0,0,87,435
v0.8.7,2014-02-20,1392922965,0,0,0,0,0,0,10,50,0,0,86,430
v0.8.8,2014-02-20,1392936986,0,0,0,0,0,0,9,45,0,0,88,440
v0.9.0,2014-02-25,1393308988,0,0,0,0,0,0,7,35,0,0,90,450
v0.9.1,2014-02-25,1393342436,0,0,0,0,0,0,7,35,0,0,90,450
v0.9.2,2014-02-25,1393367388,0,0,0,0,0,0,7,35,0,0,90,450
v0.9.3,2014-03-02,1393802534,0,0,0,0,0,0,8,40,0,0,90,450
v1.0.10,2015-11-23,1448308753,0,0,0,0,0,0,8,40,0,0,91,455
v1.0.11,2015-12-10,1449723607,0,0,0,0,0,0,12,83,0,0,85,425
v1.0.11-csp,2015-12-11,1449840010,0,0,0,0,0,0,12,83,0,0,85,425
v1.0.12,2015-12-17,1450393929,0,0,0,0,0,0,12,83,0,0,84,420
v1.0.12-csp,2015-12-17,1450394080,0,0,0,0,0,0,12,83,0,0,84,420
v1.0.13,2015-12-24,1450996777,0,0,0,0,0,0,13,88,0,0,83,415
v1.0.13-csp,2015-12-24,1451015498,0,0,0,0,0,0,13,88,0,0,83,415
v1.0.14,2016-01-11,1452543146,0,0,0,0,0,0,19,118,0,0,79,395
v1.0.14-csp,2016-01-11,1452544748,0,0,0,0,0,0,19,118,0,0,79,395
v1.0.15,2016-01-18,1453146224,0,0,0,0,0,0,17,108,0,0,81,405
v1.0.15-csp,2016-01-18,1453146702,0,0,0,0,0,0,17,108,0,0,81,405
